Learning Rate,Depth,Iterations,RMSE,NRMSE
0.01,4,500,34.13684808335941,0.289295322740334
0.01,4,1000,34.14052424070142,0.2893264766161137
0.01,4,1500,34.152735401630366,0.2894299610307658
0.01,6,500,34.138252423364314,0.28930722392681624
0.01,6,1000,34.141200559234534,0.2893322081291062
0.01,6,1500,34.162211882407476,0.2895102701898939
0.01,8,500,34.14894686758644,0.2893978548100546
0.01,8,1000,34.1628566217389,0.289515734082533
0.01,8,1500,34.179325869245794,0.2896553039766593
0.05,4,500,34.18534742917511,0.2897063341455518
0.05,4,1000,34.206033746891926,0.2898816419228129
0.05,4,1500,34.23722962165401,0.2901460137428306
0.05,6,500,34.1815296297996,0.2896739799135559
0.05,6,1000,34.20654809531261,0.289886000807734
0.05,6,1500,34.250123258639164,0.29025528185287425
0.05,8,500,34.238516572712065,0.29015692010772937
0.05,8,1000,34.316734774596256,0.290819786225392
0.05,8,1500,34.37296866459102,0.2912963446151781
0.1,4,500,34.24059411755891,0.2901745264199908
0.1,4,1000,34.29162981093909,0.290607032296094
0.1,4,1500,34.344000494401044,0.29105085164746647
0.1,6,500,34.334863200846044,0.2909734169563224
0.1,6,1000,34.40377206603072,0.2915573903900908
0.1,6,1500,34.454921300318006,0.29199085847727124
0.1,8,500,34.47516139517657,0.2921623847048862
0.1,8,1000,34.58124338199001,0.29306138459313563
0.1,8,1500,34.658405613653,0.29371530181061867
