Learning Rate,Epochs,Threshold,Accuracy
0.01,500,0.4,0.09129332206255283
0.01,500,0.5,0.09129332206255283
0.01,500,0.6,0.09129332206255283
0.01,1000,0.4,0.9087066779374472
0.01,1000,0.5,0.9087066779374472
0.01,1000,0.6,0.9087066779374472
0.01,1500,0.4,0.9087066779374472
0.01,1500,0.5,0.9087066779374472
0.01,1500,0.6,0.9087066779374472
0.1,500,0.4,0.09129332206255283
0.1,500,0.5,0.09129332206255283
0.1,500,0.6,0.09129332206255283
0.1,1000,0.4,0.9087066779374472
0.1,1000,0.5,0.9087066779374472
0.1,1000,0.6,0.9087066779374472
0.1,1500,0.4,0.4278670047900817
0.1,1500,0.5,0.4256128486897718
0.1,1500,0.6,0.4247675401521555
1.0,500,0.4,0.5505776275007044
1.0,500,0.5,0.5504367427444351
1.0,500,0.6,0.5502958579881657
1.0,1000,0.4,0.9087066779374472
1.0,1000,0.5,0.9087066779374472
1.0,1000,0.6,0.9087066779374472
1.0,1500,0.4,0.9087066779374472
1.0,1500,0.5,0.9087066779374472
1.0,1500,0.6,0.9087066779374472
