Warm_start,C,Penalty,Solver,Max_Iter,Accuracy
True,0.1,l1,liblinear,100,0.0077812828601472135
True,0.1,l1,liblinear,500,0.0077812828601472135
True,0.1,l1,liblinear,1000,0.0077812828601472135
True,0.1,l2,liblinear,100,0.008622502628811778
True,0.1,l2,liblinear,500,0.008622502628811778
True,0.1,l2,liblinear,1000,0.008622502628811778
True,1.0,l1,liblinear,100,0.0092534174553102
True,1.0,l1,liblinear,500,0.0092534174553102
True,1.0,l1,liblinear,1000,0.0092534174553102
True,1.0,l2,liblinear,100,0.009884332281808622
True,1.0,l2,liblinear,500,0.009884332281808622
True,1.0,l2,liblinear,1000,0.009884332281808622
True,10.0,l1,liblinear,100,0.00904311251314406
True,10.0,l1,liblinear,500,0.00904311251314406
True,10.0,l1,liblinear,1000,0.00904311251314406
True,10.0,l2,liblinear,100,0.00967402733964248
True,10.0,l2,liblinear,500,0.010094637223974764
True,10.0,l2,liblinear,1000,0.010094637223974764
False,0.1,l1,liblinear,100,0.0077812828601472135
False,0.1,l1,liblinear,500,0.0077812828601472135
False,0.1,l1,liblinear,1000,0.0077812828601472135
False,0.1,l2,liblinear,100,0.008622502628811778
False,0.1,l2,liblinear,500,0.008622502628811778
False,0.1,l2,liblinear,1000,0.008622502628811778
False,1.0,l1,liblinear,100,0.0092534174553102
False,1.0,l1,liblinear,500,0.0092534174553102
False,1.0,l1,liblinear,1000,0.0092534174553102
False,1.0,l2,liblinear,100,0.009884332281808622
False,1.0,l2,liblinear,500,0.009884332281808622
False,1.0,l2,liblinear,1000,0.009884332281808622
False,10.0,l1,liblinear,100,0.00904311251314406
False,10.0,l1,liblinear,500,0.00904311251314406
False,10.0,l1,liblinear,1000,0.00904311251314406
False,10.0,l2,liblinear,100,0.00967402733964248
False,10.0,l2,liblinear,500,0.010094637223974764
False,10.0,l2,liblinear,1000,0.010094637223974764
